pincode,street_name,house_number
10627,Windscheidstraße,40
14059,Philippistraße,7
14059,Philippistraße,6
14057,Kaiserdamm,3A
10247,Weichselstraße,6
10247,Weichselstraße,5
12051,Nogatstraße,5
12051,Schierker Platz,5
12051,Emser Straße,93
12045,Pflügerstraße,26
12045,Pflügerstraße,26A
12047,Pflügerstraße,2
12047,Pannierstraße,24
12047,Friedelstraße,17
12047,Lenaustraße,12
12055,Karl-Marx-Straße,193
10627,Kantstraße,75
10627,Windscheidstraße,13
10245,Libauer Straße,16
10245,Boxhagener Straße,16
10245,Boxhagener Straße,15
10717,Bundesallee,35
12159,Hauptstraße,80B
12159,Hauptstraße,80A
12159,Hauptstraße,80
10625,Schlüterstraße,7
12159,Brünnhildestraße,7
10119,Joachimstraße,10
12161,Handjerystraße,65
12161,Schmiljanstraße,12
12047,Bürknerstraße,15
12047,Pannierstraße,19
12047,Pannierstraße,18
10967,Kottbusser Damm,88
10555,Bochumer Straße,7
10115,Schlegelstraße,13
10719,Ludwigkirchstraße,13
10719,Ludwigkirchstraße,12
12047,Sanderstraße,8
12047,Sanderstraße,7
12159,Sieglindestraße,3
10551,Waldstraße,52
10551,Waldstraße,51
10825,Innsbrucker Straße,6
14057,Friedbergstraße,34
10627,Pestalozzistraße,73
10715,Detmolder Straße,64B
10715,Detmolder Straße,64A
10715,Detmolder Straße,64
10777,Nollendorfstraße,12
10777,Nollendorfstraße,11
10551,Oldenburger Straße,31
10555,Elberfelder Straße,5
12161,Eschenstraße,3
12161,Südwestkorso,74
10823,Wartburgstraße,40
10825,Am Rathaus,6
10823,Belziger Straße,22
10551,Bremer Straße,70
10551,Bremer Straße,69
10115,Schönholzer Straße,14
10115,Schönholzer Straße,13
10115,Bernauer Straße,31
10625,Leibnizstraße,21
10713,Mannheimer Straße,26
10629,Giesebrechtstraße,15
10625,Marie-Elisabeth-Lüders-Straße,8
10625,Marie-Elisabeth-Lüders-Straße,6
10625,Marie-Elisabeth-Lüders-Straße,4
10625,Marie-Elisabeth-Lüders-Straße,2
10625,Bismarckstraße,8
10585,Otto-Suhr-Allee,17
13353,Genter Straße,8
10715,Koblenzer Straße,5
12049,Karlsgartenstraße,22
12681,Zur Alten Börse,41
10713,Aachener Straße,35
12051,Warthestraße,63
10559,Dreysestraße,8
10555,Jagowstraße,19
