FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
Hausverwaltung Katrin Mayer GmbH,V_Polygon 24.1 (Ausdehnung),,10785,Flottwellstraße 16A,15,,15,3,0,,Hausverwaltung Katrin Mayer GmbH - V_Polygon 24.1 - 210 (A1) - verloren,V_Polygon 24.1 (Ausdehnung),Mitte,Tiergarten
Hausverwaltung Katrin Mayer GmbH,V_Polygon 24.1,,10785,Flottwellstraße 3,28,,28,0,0,,Hausverwaltung Katrin Mayer GmbH - V_Polygon 24.1 - 210 (A1) - verloren,V_Polygon 24.1,Mitte,Tiergarten
Hausverwaltung Kiene,V_Polygon 32.1 (Ausdehnung),,10247,Müggelstraße 15,0,,52,0,0,,HAUSVERWALTUNG KIENE - V_POLYGON 32.1 - 30 (S1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
Hausverwaltung Kiene,V_Polygon 32.1 (Ausdehnung),,10247,Müggelstraße 14,24,29,,2,,1,HAUSVERWALTUNG KIENE - V_POLYGON 32.1 - 30 (S1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
Hausverwaltung Klett GmbH,V_Polygon 75.3 (Vorvermarktung abgebrochen),,10119,Gipsstraße 18A,2,2,2,0,0,0,Hausverwaltung Klett GmbH - V_Polygon 75.3 (Vorvermarktung abgebrochen) (M1) - verloren,V_Polygon 75.3 (Vorvermarktung abgebrochen),Mitte,Mitte
Hausverwaltung Klett GmbH,V_Polygon 75.3 (Vorvermarktung abgebrochen),,10119,Gipsstraße 10,12,12,12,2,0,0,Hausverwaltung Klett GmbH - V_Polygon 75.3 (Vorvermarktung abgebrochen) (M1) - verloren,V_Polygon 75.3 (Vorvermarktung abgebrochen),Mitte,Mitte
Hausverwaltung Klett GmbH,V_Polygon 75.3 (Vorvermarktung abgebrochen),,10119,Rosenthaler Straße 24,1,1,1,2,0,0,Hausverwaltung Klett GmbH - V_Polygon 75.3 (Vorvermarktung abgebrochen) (M1) - verloren,V_Polygon 75.3 (Vorvermarktung abgebrochen),Mitte,Mitte
Hausverwaltung Marita Briese,Cluster 05,ABZ IV,10713,Sigmaringer Straße 14,9,,25,1,2,,Hausverwaltung Marita Briese - Cluster 05 - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Hausverwaltung Michael Bolz,Cluster 83,ABZ III,10585,Wilmersdorfer Straße 160,17,15,,,,1,Hausverwaltung Michael Bolz - Cluster 83 - 32 (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Hausverwaltung Michael Bolz,Cluster 83,ABZ III,10585,Wilmersdorfer Straße 159,19,15,,0,,1,Hausverwaltung Michael Bolz - Cluster 83 - 32 (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
HAUSVERWALTUNG Nadja Casadio,V_Polygon 80.1,,10559,Quitzowstraße 118,7,10,10,2,,,HAUSVERWALTUNG Nadja Casadio - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Hausverwaltung Nancy Nisslmüller,Cluster 83,ABZ III,10585,Zillestraße 66,11,,2,2,10,,Hausverwaltung Nancy Nisslmüller - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
