FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
Gräf Immobilien e.K.,Polygon 6.0,,14057,Suarezstraße 28,21,10,,1,,,Gräf Immobilien e.K. - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Gräf Immobilien e.K.,Polygon 6.0,,14057,Trendelenburgstraße 10,18,10,,3,,,Gräf Immobilien e.K. - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Grundbesitzverwaltung Dames GmbH,Cluster 83,ABZ III,10585,Haubachstraße 18,10,18,18,1,0,,Grundbesitzverwaltung Dames GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Grundstücksgesellschaft Spichernstr. 10-12 mbH,Cluster 01,,10777,Spichernstraße 10,25,,12,1,0,,Grundstücksgesellschaft Spichernstr. 10-12 mbH - Cluster 01 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
Grundstücksgesellschaft Spichernstr. 10-12 mbH,Cluster 01,,10777,Spichernstraße 12A,5,,12,3,0,,Grundstücksgesellschaft Spichernstr. 10-12 mbH - Cluster 01 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
Grundstücksgesellschaft Spichernstr. 10-12 mbH,Cluster 01,,10777,Spichernstraße 11,2,,12,21,0,,Grundstücksgesellschaft Spichernstr. 10-12 mbH - Cluster 01 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
Grundstücksgesellschaft Spichernstr. 10-12 mbH,Cluster 01,,10777,Spichernstraße 12,24,,12,7,0,,Grundstücksgesellschaft Spichernstr. 10-12 mbH - Cluster 01 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,V_Polygon 22.8,ABZ IV,12161,Südwestkorso 16,7,10,,1,,1,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 22 - 104 (A1) - verloren,V_Polygon 22.8,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,V_Polygon 22.8,ABZ IV,14197,Johannisberger Straße 7,15,15,,0,,,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 22 - 104 (A1) - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,Cluster 64,,12161,Fröaufstraße 3A,8,16,,0,,,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,Cluster 64,,12161,Fröaufstraße 3,11,20,,2,,,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,Cluster 64,,12161,Odenwaldstraße 6,10,12,,0,,,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,Cluster 22,,12159,Hähnelstraße 10,3,10,,0,,,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 22 - 104 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,Cluster 22,,12159,Hauptstraße 70,18,24,,10,,5,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 22 - 104 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,Cluster 22,,12159,Brünnhildestraße 5,12,20,,0,,,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 22 - 104 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner,Cluster 22,,12159,Cosimaplatz 5,12,19,,0,,,Grundstücksverwaltungen Immobilien e. K. Bruno Grüttner - Cluster 22 - 104 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Grundstücksverwaltung Hans Teichner Nachf. e.K.,Cluster 64,,12161,Hertelstraße 2,15,22,,2,,1,Gründstücksverwaltung Hans Teichner Nachf. OHG - Cluster 64 (M1) - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Grünspecht Immobilien GmbH,V_Polygon 80.1-2 (Ausdehnung),,10555,Gotzkowskystraße 17,7,10,10,0,0,0,GRÜNSPECHT IMMOBILIEN GMBH - V_Polygon 80.2 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH,V_Polygon 80.1-2 (Ausdehnung),,10557,Lehrter Straße 38,8,9,9,1,4,4,GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH - V_Polygon 80.1 - Lehrter Straße 27-38 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH,V_Polygon 80.1-2 (Ausdehnung),,10557,Lehrter Straße 37,10,11,11,0,2,2,GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH - V_Polygon 80.1 - Lehrter Straße 27-38 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH,V_Polygon 80.1-2 (Ausdehnung),,10557,Lehrter Straße 36,13,11,11,0,2,2,GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH - V_Polygon 80.1 - Lehrter Straße 27-38 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
