pincode,street_name,house_number,results
10779 Berlin,Treuchtlinger Straße,8,19.02.2025 ES: Laut check24 in Treuchtlinger Straße 8 GF von pyur. Note: () buchbar (Kabel oder GF?)
10779 Berlin,Prager Straße,2A,19.02.2025 ES: Laut check24 in Prager Straße 2A kein GF buchbar
12163 Berlin,Markelstraße,41A,19.02.2025 ES: Laut check24 in Markelstraße 41A GF von telekom. Note: (verfügbar ab September )
10247 Berlin,Rigaer Straße,92,"19.02.2025 ES: Laut check24 in Rigaer Straße 92 GF von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12163 Berlin,Markelstraße,41A,19.02.2025 ES: Laut check24 in Markelstraße 41A GF von telekom. Note: (verfügbar ab September )
